id,name,domain,fit_score,reason
"347345426154","BISCAYNE CONTRACTORS, INC","biscayne-contractors.com","100","MANUAL: timeout again (TIMEOUT: company biscayne-contractors.com exceeded 40000ms)"
"346971776746","Adolfson & Peterson Construction","a-p.com","84","MANUAL: timeout again (TIMEOUT: company a-p.com exceeded 40000ms)"
"331035829990","Roebbelen Contracting","roebbelen.com","75","MANUAL: no diversity/SBLO page found (confirmed on rerun)"
"327599374038","ZGF Architects","zgf.com","62","MANUAL: watchdog force-kill again (CLOSE_HUNG: zgf.com ())"
"330370473686","BELT BUILT CONTRACTING, LLC","beltbuiltllc.com","58","MANUAL: watchdog force-kill again (CLOSE_HUNG: beltbuiltllc.com ())"
"329713081054","Hunter Roberts Construction Group","hrcg.com","54","MANUAL: timeout again (TIMEOUT: company hrcg.com exceeded 40000ms)"
"332209106634","CJW Contractors","cjwcontractors.com","54","MANUAL: watchdog force-kill again (CLOSE_HUNG: cjwcontractors.com ())"
"346846914281","Gulf Building LLC","gulfbuilding.com","53","MANUAL: timeout again (TIMEOUT: company gulfbuilding.com exceeded 40000ms)"
"341109822149","Matos Builders, LLC","matosbuilders.com","52","MANUAL: no diversity/SBLO page found (confirmed on rerun)"
"346332894922","Vannoy Construction","vannoyconstruction.com","49","MANUAL: timeout again (TIMEOUT: company vannoyconstruction.com exceeded 40000ms)"
"341103998684","Veteran DCI","veteran-dci.com","48","MANUAL: watchdog force-kill again (CLOSE_HUNG: veteran-dci.com ())"
"334363726536","RLS Construction Group","rlscg.com","46","MANUAL: timeout again (TIMEOUT: company rlscg.com exceeded 40000ms)"
"343804845779","Icarus Construction","icarusconstruction.com","46","MANUAL: watchdog force-kill again (CLOSE_HUNG: icarusconstruction.com ())"
"346267561661","Rodgers Builders","rodgersbuilders.com","44","MANUAL: watchdog force-kill again (CLOSE_HUNG: rodgersbuilders.com ())"
"348033337047","Reeder General Contractors","reedergeneral.com","42","MANUAL: watchdog force-kill again (CLOSE_HUNG: reedergeneral.com ())"
